Rk,Season,Lg,GP,G▲,PP,PPO,PP%,PK%,SA,SV,SV%,GAA
1,1928-29,NHL,220,1.46,,,,,,,,1.39
2,1927-28,NHL,220,1.90,,,,,,,,1.83
3,1926-27,NHL,220,2.00,,,,,,,,1.91
4,1935-36,NHL,192,2.16,,,,,,,,2.08
5,1932-33,NHL,216,2.28,,,,,,,,2.18
6,1925-26,NHL,126,2.31,,,,,,,,2.22
7,1952-53,NHL,210,2.40,,,,,,,,2.37
8,1953-54,NHL,210,2.40,,,,,,,,2.37
9,1930-31,NHL,220,2.40,,,,,,,,2.31
10,1933-34,NHL,216,2.41,,,,,,,,2.30
11,1936-37,NHL,192,2.46,,,,,,,,2.37
12,1939-40,NHL,168,2.49,,,,,,,,2.41
13,1931-32,NHL,192,2.49,,,,,,,,2.36
14,1924-25,NHL,90,2.50,,,,,,,,2.45
15,1954-55,NHL,210,2.52,,,,,,,,2.52
16,1934-35,NHL,216,2.52,,,,,,,,2.44
17,1938-39,NHL,168,2.53,,,,,,,,2.42
18,1937-38,NHL,192,2.53,,,,,,,,2.44
19,1955-56,NHL,210,2.53,,,,,30.8,28.3,.919,2.49
20,2003-04,NHL,1230,2.57,0.70,4.24,16.46,83.54,28.0,25.5,.911,2.46
21,1951-52,NHL,210,2.60,,,,,,,,2.56
22,2001-02,NHL,1230,2.62,0.65,4.13,15.77,84.23,27.5,25.0,.908,2.51
23,1998-99,NHL,1107,2.63,0.69,4.38,15.81,84.19,27.8,25.2,.908,2.56
24,1997-98,NHL,1066,2.64,0.70,4.64,15.08,84.92,27.3,24.7,.906,2.53
25,2002-03,NHL,1230,2.65,0.73,4.42,16.43,83.57,28.3,25.7,.909,2.54
26,1923-24,NHL,48,2.66,,,,,,,,2.61
27,1940-41,NHL,168,2.68,,,,,,,,2.56
28,1956-57,NHL,210,2.69,,,,,29.8,27.1,.911,2.65
29,1950-51,NHL,210,2.71,,,,,,,,2.70
30,2015-16,NHL,1230,2.71,0.58,3.11,18.66,81.34,29.6,27.1,.915,2.51
31,1948-49,NHL,180,2.72,,,,,,,,2.72
32,2012-13,NHL,720,2.72,0.61,3.32,18.22,81.78,29.0,26.5,.912,2.54
33,1949-50,NHL,210,2.73,,,,,,,,2.73
34,2014-15,NHL,1230,2.73,0.57,3.06,18.66,81.34,29.8,27.3,.915,2.52
35,2011-12,NHL,1230,2.73,0.57,3.31,17.31,82.69,29.7,27.1,.914,2.54
36,2013-14,NHL,1230,2.74,0.59,3.27,17.89,82.11,30.0,27.4,.914,2.56
37,1999-00,NHL,1148,2.75,0.65,4.03,16.15,83.85,27.9,25.2,.904,2.64
38,2000-01,NHL,1230,2.76,0.76,4.59,16.64,83.36,27.6,25.0,.903,2.65
39,2016-17,NHL,1230,2.77,0.57,2.99,19.10,80.90,30.1,27.5,.913,2.59
40,1963-64,NHL,210,2.78,0.57,3.64,15.69,84.31,32.8,30.0,.916,2.75
41,2007-08,NHL,1230,2.78,0.76,4.28,17.75,82.25,29.0,26.3,.909,2.61
42,1967-68,NHL,444,2.79,0.55,3.28,16.86,83.14,30.4,27.6,.910,2.75
43,2010-11,NHL,1230,2.79,0.64,3.54,18.02,81.98,30.3,27.7,.913,2.61
44,1957-58,NHL,210,2.80,,,,,30.4,27.6,.909,2.78
45,2009-10,NHL,1230,2.84,0.68,3.71,18.23,81.77,30.2,27.5,.911,2.66
46,1964-65,NHL,210,2.88,0.69,4.38,15.82,84.18,31.1,28.3,.909,2.85
47,1958-59,NHL,210,2.90,,,,,30.3,27.4,.905,2.87
48,1969-70,NHL,456,2.90,0.73,3.73,19.47,80.53,32.6,29.8,.912,2.88
49,2008-09,NHL,1230,2.91,0.79,4.16,18.95,81.05,30.1,27.4,.908,2.73
50,1996-97,NHL,1066,2.92,0.67,4.10,16.27,83.73,29.7,26.9,.905,2.80
51,1947-48,NHL,180,2.93,,,,,,,,2.93
52,1959-60,NHL,210,2.95,,,,,31.6,28.7,.908,2.92
53,2006-07,NHL,1230,2.95,0.85,4.85,17.58,82.42,29.5,26.7,.905,2.77
54,1929-30,NHL,220,2.96,,,,,,,,2.85
55,1962-63,NHL,210,2.97,,,,,31.8,28.9,.908,2.93
56,2017-18,NHL,1271,2.97,0.61,3.04,20.18,79.82,31.8,29.0,.912,2.78
57,1966-67,NHL,210,2.98,0.60,3.32,18.12,81.88,31.8,28.8,.907,2.96
58,1968-69,NHL,456,2.98,0.60,3.47,17.40,82.60,32.1,29.2,.908,2.95
59,1994-95,NHL,624,2.99,0.77,4.36,17.73,82.27,29.3,26.4,.901,2.89
60,1960-61,NHL,210,3.00,,,,,32.2,29.2,.908,2.96
61,1961-62,NHL,210,3.01,,,,,31.6,28.7,.906,2.98
62,2018-19,NHL,1271,3.01,0.58,2.92,19.78,80.22,31.3,28.5,.910,2.81
63,1965-66,NHL,210,3.04,0.71,3.76,18.94,81.06,31.5,28.5,.904,3.02
64,1971-72,NHL,546,3.07,0.67,3.45,19.38,80.62,30.9,27.9,.903,3.02
65,2005-06,NHL,1230,3.08,1.03,5.85,17.68,82.32,29.9,27.0,.901,2.92
66,1941-42,NHL,168,3.12,,,,,,,,3.02
67,1970-71,NHL,546,3.12,0.69,3.66,18.83,81.17,31.8,28.8,.903,3.09
68,1995-96,NHL,1066,3.14,0.90,5.04,17.93,82.07,30.2,27.1,.898,3.04
69,1946-47,NHL,180,3.16,,,,,,,,3.16
70,1973-74,NHL,624,3.20,0.63,3.30,19.09,80.91,30.3,27.2,.896,3.16
71,1993-94,NHL,1092,3.24,0.90,4.85,18.64,81.36,30.2,27.1,.895,3.14
72,1922-23,NHL,48,3.26,,,,,,,,3.17
73,1972-73,NHL,624,3.28,0.63,3.34,18.71,81.29,31.1,27.8,.896,3.24
74,1977-78,NHL,720,3.30,0.67,3.19,21.15,78.85,29.2,26.0,.889,3.26
75,1976-77,NHL,720,3.32,0.66,3.31,19.83,80.17,30.0,26.7,.891,3.28
76,1945-46,NHL,150,3.34,,,,,,,,3.34
77,1975-76,NHL,720,3.41,0.82,4.01,20.54,79.46,30.6,27.2,.890,3.37
78,1974-75,NHL,720,3.43,0.80,3.95,20.33,79.67,30.7,27.4,.890,3.38
